Date,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2020-01-02,71.72101143907315,72.77659055848162,71.4668047519516,72.716064453125,135480400
2020-01-03,71.94131293879263,72.77172916472097,71.78394657407523,72.00910186767578,146322800
2020-01-06,71.12786596061405,72.62164622763687,70.87607527260708,72.5829086303711,118387200
2020-01-07,72.59259363206662,72.84922374466596,72.02123070618616,72.24154663085938,108872000
2020-01-08,71.943758846659,73.70627893727402,71.943758846659,73.40364837646484,132079200
2020-01-09,74.3841659131879,75.15647966923257,74.13238261481911,74.96279907226562,170108400
2020-01-10,75.19762083507513,75.69877866776542,74.62867407248754,75.13224792480469,140644800
2020-01-13,75.44942915816804,76.76405445807666,75.33079296168272,76.73741912841797,121532000
2020-01-14,76.67448226895164,76.88511195829709,75.57774940600967,75.70121765136719,161954400
2020-01-15,75.5002914579072,76.3839714245918,74.9434466626335,75.37681579589844,121923600
2020-01-16,75.92154348740286,76.4323877854954,75.55838676505513,76.32101440429688,108829200
2020-01-17,76.57035717765905,77.16835535095495,76.26288724448004,77.16593933105469,137816400
2020-01-21,76.79313187676424,77.23617988929628,76.50502691219032,76.64302825927734,110843200
2020-01-22,77.1296258918447,77.47099402402007,76.82215592624772,76.91658020019531,101832400
2020-01-23,76.96983114393875,77.3668785027068,76.42024944843635,77.2869873046875,104472000
2020-01-24,77.53393791090298,78.27961624864055,76.87299020657808,77.06425476074219,146537600
2020-01-27,75.06688907368486,75.48088552561684,73.8127900649216,74.79815673828125,161940000
2020-01-28,75.68185845150586,77.08606141566885,75.5825947326495,76.91416931152344,162234000
2020-01-29,78.55078999397739,79.37394362780475,77.80752757594179,78.52415466308594,216229200
2020-01-30,77.60415017442514,78.46361788035526,77.1707812088342,78.41035461425781,126743200
2020-01-31,77.69856694811635,78.12224966790679,74.63837103116171,74.9337387084961,199588400
2020-02-03,73.67237193822604,75.89731214570682,73.16879799630816,74.72795104980469,173788400
2020-02-04,76.33794793595989,77.38626426505087,75.93121426303615,77.19499969482422,136616400
2020-02-05,78.32563642255818,78.62585099313237,77.21922459648295,77.8244857788086,118826800
2020-02-06,78.09563507421905,78.73721039613278,77.53637437960353,78.73478698730469,105425600
2020-02-07,78.23244174012544,78.48240085764334,77.1719355094332,77.6645736694336,117684000
2020-02-10,76.24488144952362,78.0334243774414,76.16480064339702,78.0334243774414,109348800
2020-02-11,78.53095482016886,78.60375558460609,77.34425051799536,77.56266021728516,94323200
2020-02-12,78.0140331926388,79.40943770675925,78.0140331926388,79.40458679199219,113730400
2020-02-13,78.67410664216737,79.16674472243865,78.47025716819051,78.83912658691406,94747600
2020-02-14,78.80758309855572,79.10851012138082,78.34892359887368,78.85855102539062,80113600
2020-02-18,76.53127920512857,77.5966440338326,76.34926987588581,77.41463470458984,152531200
2020-02-19,77.65728500864738,78.76632988761132,77.65728500864738,78.53578186035156,93984000
2020-02-20,78.29551817542524,78.78572703430541,77.22287385707519,77.73007202148438,100566000
2020-02-21,77.32238890983989,77.76649566805042,75.35183643347615,75.97066497802734,129554000
2020-02-24,72.13876186738017,73.81809639904387,70.19004979476811,72.36202239990234,222195200
2020-02-25,73.034234061443,73.41766354957142,69.43773019101052,69.91094970703125,230673600
2020-02-26,69.53482499231708,72.28923357582319,69.5275449173606,71.02001953125,198054800
2020-02-27,68.21708245275049,69.4062083168437,66.2416714304022,66.37757110595703,320605600
2020-02-28,62.431610947009084,67.56427105877654,62.21562305087625,66.33873748779297,426510000
2020-03-02,68.50340283810155,73.15313167089495,67.39678759420204,72.51488494873047,341397200
2020-03-03,73.69435237651876,73.77443320656704,69.35767141404621,70.21190643310547,319475600
2020-03-04,71.93976834476976,73.6288122283086,71.13650139150472,73.46864318847656,219178400
2020-03-05,71.71650798671432,72.69450423193115,70.7191006767236,71.0855484008789,187572800
2020-03-06,68.43547696188391,70.57590748684923,68.24861680086957,70.14151000976562,226176800
2020-03-09,64.00658563730508,67.48660157527603,63.82457638904733,64.5938720703125,286744800
2020-03-10,67.25606913589775,69.5129811258908,65.37044835521063,69.24603271484375,285290000
2020-03-11,67.31673591637701,68.24619329059158,65.9747138459021,66.84107971191406,255598800
2020-03-12,62.11126834135515,65.52333473547242,60.18439634961911,60.240211486816406,418474000
2020-03-13,64.28325788918951,67.93072375869788,61.38566570157223,67.4574966430664,370732000
2020-03-16,58.71619413875295,62.873283657436204,58.242970742071286,58.779293060302734,322423600
2020-03-17,60.06548110830406,62.516536915107906,57.854675154192996,61.36381530761719,324056000
2020-03-18,58.18714954728448,60.66975488014331,57.54404792376218,59.86163330078125,300233600
2020-03-19,60.036357886139776,61.35895770048267,58.87635255804571,59.4029655456543,271857200
2020-03-20,59.985403245758334,61.11386300197094,55.330821042511275,55.631744384765625,401693200
2020-03-23,55.35023092369006,55.45215566699075,51.59598621533572,54.44989013671875,336752800
2020-03-24,57.35962428486816,60.10917855165599,56.859706000541046,59.9126091003418,287531200
2020-03-25,60.85177578567194,62.671868780258336,59.28649655092537,59.58256530761719,303602000
2020-03-26,59.82523808416542,62.77621240154902,59.78640854897909,62.71797180175781,252087200
2020-03-27,61.33712415208677,62.09428153233142,59.95385443702902,60.12130355834961,204216800
2020-03-30,60.84934577792082,62.0093513301557,60.52415303960045,61.8370475769043,167976400
2020-03-31,62.0287624061651,63.700817094858024,61.15511640489983,61.71084976196289,197002000
2020-04-01,59.82036933508518,60.3591169738146,58.0318264145662,58.46379470825195,176218400
2020-04-02,58.32547715782636,59.49276269917482,57.49066070248686,59.43937301635742,165934000
2020-04-03,58.9224639013772,59.626231543601605,57.99300285608874,58.585140228271484,129880000
2020-04-06,60.88817032671101,63.85127936413574,60.51930084799207,63.69596862792969,201820400
2020-04-07,65.71748491139161,65.93590198494132,62.853875034378305,62.95822525024414,202887200
2020-04-08,63.76147775323179,64.88508270225176,63.395037501230945,64.5696029663086,168895200
2020-04-09,65.20786807728709,65.54033721316215,64.2371518120858,65.03556060791016,161834800
2020-04-13,65.11322975905965,66.4212736836315,64.51138291538209,66.31206512451172,131022800
